               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12637,            0.096056,                   0,           0.0048914,            0.024779,           0.0022084,           0.0004338,             0.12768,            0.064017,                   0,             0.00015,             0.00015,             0.09865
                   1,             0.12135,             0.10599,                   0,            0.010244,            0.042478,            0.004232,          0.00091573,             0.12146,            0.074483,                   0,          0.00030932,          0.00030932,            0.097209
                   2,             0.11705,             0.11364,                   0,            0.025391,            0.035398,            0.008324,           0.0018097,             0.11775,            0.078885,                   0,          0.00046589,          0.00046589,            0.095766
                   3,              0.1131,             0.11406,                   0,            0.024427,             0.15929,            0.013127,           0.0029819,               0.114,            0.084276,                   0,          0.00061767,          0.00061767,            0.094318
                   4,             0.10993,             0.12138,                   0,            0.036029,             0.16814,            0.020656,           0.0044268,             0.11074,            0.088321,                   0,          0.00076268,          0.00076268,            0.092863
                   5,             0.10672,             0.12256,                   0,            0.074332,             0.14513,            0.035602,           0.0066389,             0.10732,            0.089227,                   0,          0.00089909,          0.00089909,            0.091399
                   6,             0.10552,             0.11914,                   0,             0.11066,             0.25487,            0.065928,            0.012005,             0.10398,            0.089587,                   0,           0.0010252,           0.0010252,            0.089925
                   7,             0.10232,             0.11656,                   0,             0.18475,              0.2708,             0.11404,            0.022435,            0.098306,            0.090727,                   0,           0.0011395,           0.0011395,             0.08844
                   8,            0.097356,              0.1142,                   0,             0.27019,             0.30619,             0.19439,            0.040807,            0.092334,            0.089891,                   0,           0.0012407,           0.0012407,            0.086941
                   9,            0.092655,             0.11268,                   0,             0.35379,              0.3292,             0.24878,              0.0579,            0.086511,            0.088291,                   0,           0.0013278,           0.0013278,            0.085428
                  10,            0.087234,             0.11067,                   0,             0.34862,             0.43009,              0.2858,            0.065222,            0.084272,            0.086882,                   0,              0.0014,              0.0014,              0.0839
                  11,            0.084055,             0.11212,                   0,             0.46349,             0.43717,             0.37187,            0.084169,            0.077286,            0.087443,                   0,           0.0014567,           0.0014567,            0.082357
                  12,            0.080923,             0.11704,                   0,             0.49774,             0.42301,             0.42236,             0.10813,            0.074987,            0.087058,                   0,           0.0014979,           0.0014979,            0.080798
                  13,            0.077351,             0.11391,                   0,             0.49973,             0.51327,             0.48865,              0.1505,            0.070814,            0.086405,                   0,           0.0015235,           0.0015235,            0.079223
                  14,            0.075194,             0.11428,                   0,             0.56919,             0.52146,             0.53583,             0.16616,            0.068446,            0.085902,                   0,           0.0015339,           0.0015339,            0.077634
                  15,            0.073148,             0.11534,                   0,             0.66096,             0.55553,             0.61941,             0.22549,            0.066093,            0.084769,                   0,             0.00153,             0.00153,             0.07603
                  16,            0.071432,             0.11173,                   0,             0.54916,             0.62124,             0.58185,             0.20693,            0.067348,             0.08358,                   0,           0.0015127,           0.0015127,            0.074413
                  17,            0.070727,              0.1149,                   0,             0.58142,             0.57699,             0.58422,             0.18193,            0.066178,            0.082639,                   0,           0.0014833,           0.0014833,            0.072783
                  18,            0.070553,             0.11424,                   0,             0.65573,             0.64727,             0.64882,             0.25034,            0.064465,            0.081023,                   0,           0.0014435,           0.0014435,            0.071143
                  19,            0.068737,             0.11488,                   0,             0.65869,             0.66018,             0.66878,             0.27136,             0.06191,             0.08099,                   0,            0.001395,            0.001395,            0.069495
                  20,            0.066167,             0.11226,                   0,             0.70932,             0.61416,             0.67164,             0.24157,            0.061162,             0.07927,                   0,             0.00134,             0.00134,             0.06784
                  21,            0.066407,             0.10972,                   0,             0.70273,             0.66549,             0.70671,             0.29663,            0.059098,            0.078408,                   0,           0.0012807,           0.0012807,            0.066181
                  22,            0.065318,             0.11392,                   0,             0.68916,             0.68279,             0.70516,             0.29809,            0.060267,            0.078406,                   0,           0.0012197,           0.0012197,             0.06452
                  23,            0.065422,             0.11464,                   0,             0.71333,             0.70025,             0.72027,              0.2989,            0.057963,            0.078633,                   0,           0.0011595,           0.0011595,             0.06286
                  24,            0.064554,             0.11054,                   0,             0.68847,             0.70619,             0.71628,             0.31447,             0.05776,            0.077654,                   0,           0.0011028,           0.0011028,            0.061203
                  25,            0.063992,              0.1138,                   0,             0.74888,             0.67031,             0.73577,             0.32256,            0.056132,            0.077524,                   0,           0.0010524,           0.0010524,            0.059552
                  26,            0.063037,             0.11374,                   0,             0.75843,             0.71858,             0.76367,             0.34218,            0.056381,            0.077359,                   0,            0.001011,            0.001011,            0.057911
                  27,            0.064083,             0.11057,                   0,             0.76357,             0.68593,             0.73529,             0.33337,            0.055714,            0.078134,                   0,          0.00098151,          0.00098151,            0.056282
                  28,            0.061909,             0.11018,                   0,             0.80308,             0.67611,             0.76785,             0.33517,            0.055275,            0.077475,                   0,          0.00096647,          0.00096647,            0.054666
                  29,            0.062335,              0.1147,                   0,             0.80845,             0.67611,             0.77568,             0.34861,            0.055751,             0.07674,                   0,           0.0009685,           0.0009685,            0.053068
